Variable,Level,N,Events,HR,HR_lower,HR_upper,p_value,interaction_p
Overall,All patients,246,108,0.5925848972064481,0.4019910877750046,0.873543894569424,0.008222557757558624,
gender,M,131,57,0.8220558037422119,0.48784067240930307,1.385238629507446,0.4617423982451243,0.07918254051541022
gender,F,115,51,0.4027532929379064,0.2219396759868574,0.7308752445954396,0.0027797430848823077,0.07918254051541022
histology,Adenocarcinoma,123,51,0.7623137530944303,0.4389571283525495,1.3238701928316474,0.3351890761136076,0.0436002571394795
histology,Squamous Cell Carcinoma,76,37,0.3082444924843293,0.1461594906393543,0.6500752481504507,0.0019937663927912875,0.0436002571394795
pdl1_status,Positive (TPS ≥50%),69,31,0.39250108162333947,0.1746606030133658,0.8820369128331833,0.02358619173165794,0.28851179291636203
pdl1_status,Positive (TPS 1-49%),71,27,0.8116297805124741,0.3811044602965825,1.7285100785807679,0.5884293531816573,0.28851179291636203
pdl1_status,Negative (TPS <1%),64,30,0.652143564158491,0.3132980312559028,1.3574653711307896,0.2530830143209744,0.28851179291636203
pembro_with_chemo,Monotherapy,246,108,0.5925848972064481,0.4019910877750046,0.873543894569424,0.008222557757558624,
ecog_ps,0,53,22,0.7699120527883835,0.32229143795130016,1.8392191018068318,0.5561876499733562,0.3215363910997587
ecog_ps,1,117,47,0.5096107420914575,0.28368342474674085,0.915468038666188,0.024103872975348193,0.3215363910997587
ecog_ps,2,48,28,0.5040154278487995,0.23439131014301806,1.0837925320465442,0.07943550603494366,0.3215363910997587
brain_mets,Yes,101,39,0.6068215260684533,0.3175232779252071,1.1597019497473944,0.13063416297743555,0.9952203205266155
brain_mets,No,145,69,0.5829080061015167,0.35882762339568347,0.9469219241311433,0.029236829477553555,0.9952203205266155
de_novo_vs_recurrent,De novo,181,83,0.5689187907629809,0.36194276665315606,0.8942535127200895,0.014511970064665104,0.750111892676576
de_novo_vs_recurrent,Recurrent,65,25,0.6561832671500438,0.2926380366546891,1.4713619767610149,0.30649155666172256,0.750111892676576
